,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1436,SDHD,UNKNOWN,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2016-08-26,002810.XSHE,100.0,Materials,原材料,Normal,Active,山东赫达,CS
1437,WLJJ,MainBoard,0000-00-00,XSHG,C21,家具制造业,2017-06-16,603326.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,我乐家居,CS
1438,HFKJ,MainBoard,0000-00-00,XSHG,C37,铁路、船舶、航空航天和其它运输设备制造业,2001-12-12,600391.XSHG,100.0,Industrials,工业,Normal,Active,航发科技,CS
1439,*STZA,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,1990-12-19,600654.XSHG,100.0,InformationTechnology,信息技术,StarST,Active,*ST中安,CS
1440,TWSX,UNKNOWN,0000-00-00,XSHE,I63,电信、广播电视和卫星传输服务,2008-05-26,002238.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,天威视讯,CS
1441,SJGW,MainBoard,0000-00-00,XSHG,F52,零售业,2011-03-02,601116.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,三江购物,CS
1442,LQJS,MainBoard,2012-03-01,XSHG,E48,土木工程建筑业,2000-07-25,600263.XSHG,100.0,Industrials,工业,Other,Delisted,路桥建设,CS
1443,CSBM,MainBoard,0000-00-00,XSHE,C17,纺织业,2000-07-24,000158.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,常山北明,CS
1444,ZSYY,UNKNOWN,0000-00-00,XSHE,C27,医药制造业,2009-12-11,002317.XSHE,100.0,HealthCare,医疗保健,Normal,Active,众生药业,CS
1445,QLGY,UNKNOWN,0000-00-00,XSHE,C30,非金属矿物制品业,2010-08-03,002457.XSHE,100.0,Industrials,工业,Normal,Active,青龙管业,CS
1446,YWK,UNKNOWN,0000-00-00,XSHE,C35,专用设备制造业,2016-12-29,002837.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,英维克,CS
1447,SXYX,MainBoard,0000-00-00,XSHE,K70,房地产业,1997-09-25,000863.XSHE,100.0,Financials,金融,Normal,Active,三湘印象,CS
1448,NBHY,MainBoard,0000-00-00,XSHG,G55,水上运输业,1997-04-23,600798.XSHG,100.0,Industrials,工业,Normal,Active,宁波海运,CS
1449,GSTL,MainBoard,0000-00-00,XSHG,G53,铁路运输业,2006-12-22,601333.XSHG,100.0,Industrials,工业,Normal,Active,广深铁路,CS
1450,HXSP,UNKNOWN,0000-00-00,XSHE,C13,农副食品加工业,2012-10-11,002702.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,海欣食品,CS
1451,HDGF,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,2015-02-17,603618.XSHG,100.0,Utilities,公用事业,Normal,Active,杭电股份,CS
1452,ZXKJ,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2010-08-06,300101.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,振芯科技,CS
1453,JPTY,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1993-12-15,000545.XSHE,100.0,Materials,原材料,Normal,Active,金浦钛业,CS
1454,TLGF,MainBoard,0000-00-00,XSHG,C36,汽车制造业,2015-03-20,603158.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,腾龙股份,CS
1455,FAN,UNKNOWN,0000-00-00,XSHE,C17,纺织业,2009-12-30,002327.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,富安娜,CS
1456,YKKJ,UNKNOWN,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2010-05-25,002409.XSHE,100.0,Materials,原材料,Normal,Active,雅克科技,CS
1457,MJGF,UNKNOWN,0000-00-00,XSHE,C17,纺织业,2010-04-29,002397.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,梦洁股份,CS
1458,YTSD,MainBoard,0000-00-00,XSHG,G60,邮政业,2000-06-08,600233.XSHG,100.0,Industrials,工业,Normal,Active,圆通速递,CS
1459,ZHJT,MainBoard,0000-00-00,XSHG,C27,医药制造业,2000-11-30,600252.XSHG,100.0,HealthCare,医疗保健,Normal,Active,中恒集团,CS
1460,RHCL,GEM,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2017-11-27,300727.XSHE,100.0,Materials,原材料,UNKNOWN,PreIPO,润禾材料,CS
1461,JAKJ,GEM,0000-00-00,XSHE,C40,仪器仪表制造业,2012-04-10,300309.XSHE,100.0,Energy,能源,Normal,Active,吉艾科技,CS
1462,WKXT,MainBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,1998-09-11,000831.XSHE,100.0,Materials,原材料,Normal,Active,五矿稀土,CS
1463,JRGF,UNKNOWN,0000-00-00,XSHE,C35,专用设备制造业,2010-02-05,002353.XSHE,100.0,Energy,能源,Normal,Active,杰瑞股份,CS
1464,ASC,GEM,0000-00-00,XSHE,C41,其他制造业,2017-09-26,300706.XSHE,100.0,Materials,原材料,Normal,Active,阿石创,CS
1465,HEP,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,2004-07-27,600983.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,惠而浦,CS
1466,TKBY,GEM,0000-00-00,XSHE,C30,非金属矿物制品业,2012-08-01,300344.XSHE,100.0,Materials,原材料,Normal,Active,太空板业,CS
1467,DLGF,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1993-12-08,000530.XSHE,100.0,Industrials,工业,Normal,Active,大冷股份,CS
1468,ZGFL,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2015-05-13,300414.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,中光防雷,CS
1469,SDKJ,UNKNOWN,0000-00-00,XSHE,C35,专用设备制造业,2010-12-17,002526.XSHE,100.0,Industrials,工业,Normal,Active,山东矿机,CS
1470,HWDQ,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,2017-07-28,603063.XSHG,100.0,Industrials,工业,Normal,Active,禾望电气,CS
1471,QLJT,MainBoard,0000-00-00,XSHG,C41,其他制造业,1996-03-25,600891.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,秋林集团,CS
1472,GHTX,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2017-11-01,300711.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,广哈通信,CS
1473,TYGF,GEM,0000-00-00,XSHE,F51,批发业,2016-08-26,300538.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,同益股份,CS
1474,ZBJT,MainBoard,0000-00-00,XSHE,F52,零售业,1997-05-19,000759.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,中百集团,CS
1475,JLCT,GEM,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其它运输设备制造业,2017-01-13,300589.XSHE,100.0,Industrials,工业,Normal,Active,江龙船艇,CS
1476,DFJT,MainBoard,0000-00-00,XSHG,F51,批发业,1994-01-06,600811.XSHG,100.0,Industrials,工业,Normal,Active,东方集团,CS
1477,XHD,UNKNOWN,0000-00-00,XSHE,F52,零售业,2008-07-31,002264.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,新华都,CS
1478,SYGF,MainBoard,0000-00-00,XSHG,C30,非金属矿物制品业,2014-10-31,603688.XSHG,100.0,Materials,原材料,Normal,Active,石英股份,CS
1479,GXKJ,UNKNOWN,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2009-08-21,002281.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,光迅科技,CS
